Handle,Name,Followers,Category,Priority,Status,Personalization Hook,Notes
@trading_axe,Trading Axe,155209,External Outreach,S-TIER,To Contact,"CT is one big MMORPG tweet - views CT as game with main characters","DREAM LEAD: Perfect pitch alignment. DM first."
@CirrusNFT,Cirrus,103444,External Outreach,S-TIER,To Contact,"Asked for tokenized fantasy sports meta in Aug 2025 tweet","DREAM LEAD: Literally asked for this product."
@icobeast,Icobeast,68258,External Outreach,S-TIER,To Contact,"DJ Moore fantasy league tweet - already plays fantasy","DREAM LEAD: Fantasy player + building at Kalshi."
@DelCrxpto,Del,89966,External Outreach,A-TIER,To Contact,"Playing crypto characters in 2021 tweet","CT culture native. Deep in meta."
@FFVV1211,FFVV,69535,External Outreach,A-TIER,To Contact,"Bio says I luv gaming + CT larp tweet","Gamer energy. Would play for fun."
@hodl_strong,Hodl Strong,37800,External Outreach,A-TIER,To Contact,"Mentioned fantasy game on Base in Aug 2025","Called out exact concept we built."
@jonwu_,Jon Wu,98378,External Outreach,A-TIER (Advisor),To Contact,"Helps technical founders with storytelling at FortyIQ","ADVISOR POTENTIAL: Growth narrative expert."
@0xSeanTao,Sean Tao,77463,External Outreach,A-TIER (Advisor),To Contact,"Cofounder of Edgen - AI copilot for crypto","ADVISOR POTENTIAL: Deep product experience."
@haonan,Haonan,32240,External Outreach,A-TIER (Advisor),To Contact,"Codex CEO - prior Optimism experience","ADVISOR POTENTIAL: L2 tech expert."
@ilodiwow,Ilodi,92303,External Outreach,A-TIER,To Contact,"CT KOL drama commentary - humor","CT drama commentator. OKX creator."
@j0hnwang,John Wang,60443,External Outreach,A-TIER,To Contact,"Next wave is prediction markets tweet","Kalshi crypto lead. Prediction markets."
@buyerofponzi,Buyer of Ponzi,68578,External Outreach,A-TIER,To Contact,"Prediction markets vs sports gambling tweet","Value investor. Prediction market interest."
@LexaproTrader,Lexapro Trader,95826,External Outreach,B-TIER,To Contact,"Retired gambler seeking edges tweet","Competitive gambler energy."
@HerroCrypto,Herro,113612,External Outreach,B-TIER,To Contact,"Taking sports betting on chain with Base tweet","Base ecosystem fan. Has betting partnerships."
@hannahhughes,Hannah Hughes,28731,External Outreach,B-TIER,To Contact,"PrizePicks + Polymarket partnership tweet","Growth marketer. Prediction market focus."
@palis,Palis,37432,External Outreach,B-TIER,To Contact,"Gaming + tokenomics in bio","Gaming background. Roasts CT drama."
@BR4ted,BR4ted,49827,External Outreach,B-TIER,To Contact,"Limitless prediction markets tweet","Marketing advisor. Community-focused."
@CryptoEights,Crypto Eights,60505,External Outreach,B-TIER,To Contact,"Sports predictions boost onchain liquidity tweet","Podcast host. Spaces host."
@minseokk1m,Min Seok Kim,39073,External Outreach,B-TIER,To Contact,"Getting friends onboard Base app tweet","Base East Asia lead. Direct Base connection."
@jvmi_,Jvmi,37355,External Outreach,B-TIER,To Contact,"AEONS mint on Base tweet","Creative coder. Art with code on Base."
@arrotu,Arrotu,77828,External Outreach,B-TIER,To Contact,"NexArt protocol-level enforcement tweet","On-chain art platform founder."
@free_electron0,Free Electron,72200,External Outreach,B-TIER,To Contact,"First actual PVE play tweet","Views life as game. Critiques CT memes."
@blknoiz06,Ansem,580000,In-Game S-Tier,HIGH,To Contact,"Flag football league + LoL Discord - plays fantasy","#1 PRIORITY: Promotes games (Luckio). Perfect fit."
@CryptoCred,Cred,732000,In-Game S-Tier,HIGH,To Contact,"DJ Moore fantasy league tweet - already plays fantasy","#2 PRIORITY: Fantasy football player."
@cobie,Cobie,560000,In-Game S-Tier,MEDIUM,To Contact,"Homeless look at CB event - self-deprecating humor","CT legend. Gaming chair refs."
@CryptoHayes,Arthur Hayes,380000,In-Game S-Tier,MEDIUM,To Contact,"Makes public bets on BTC price","BitMEX founder. Betting angle."
@inversebrah,InverseBrah,379000,In-Game S-Tier,MEDIUM,To Contact,"Start bagworkin tweet - meme energy","Meme lord. Open to sponsors."
@cz_binance,CZ,10600000,In-Game A-Tier,HIGH,To Contact,"Supports Kalshi/Polymarket heavily - prediction market fan","Top priority. Offer custom league or ETH prize boost."
@CryptoWendyO,Crypto Wendy O,460000,In-Game A-Tier,HIGH,To Contact,"Fun posts energy - engaged community","Perfect audience match. Loves meta."
@thedefiedge,The DeFi Edge,305000,In-Game A-Tier,HIGH,To Contact,"DMs open for deals - systems thinker","Easy to pitch paid or affiliate."
@CryptoKaleo,Kaleo,728000,In-Game A-Tier,HIGH,To Contact,"Active trader - co-founder of NFT project","Trader energy. Enjoys competitions."
@DefiIgnas,DeFi Ignas,158000,In-Game A-Tier,HIGH,To Contact,"Open to collabs - creator studio co-founder","Lower followers but high conversion potential."
@AltcoinPsycho,Altcoin Psycho,521000,In-Game A-Tier,MEDIUM,Researched,"Cynical trader - chef at a project","Trader energy. Could enjoy competition angle."
@IvanOnTech,Ivan on Tech,493000,In-Game A-Tier,MEDIUM,Researched,"Educator - community for profitable trades","Might cross-promote if framed as educational."
@CryptosRUs,George,300000,In-Game A-Tier,MEDIUM,Researched,"Daily news/charts - gaming mentions","Active content creator. Open to promotions."
@WhalePanda,WhalePanda,302000,In-Game A-Tier,MEDIUM,Researched,"CT OG - sarcastic/no-nonsense","OG vibe. Might enjoy irony."
@sassal0x,sassal,296000,In-Game A-Tier,MEDIUM,Researched,"Ethereum educator - Bankless/Daily Gwei","ETH aligned (Base is L2 - bonus)."
@ThinkingUSD,ThinkingCrypto,275000,In-Game A-Tier,MEDIUM,Researched,"Bitcoin OG - CEO of trading firm","Consistent trader background."
@VentureCoinist,Luke Martin,330000,In-Game B-Tier,HIGH,To Contact,"Active Polymarket commenter/trader - gambling interest","Prime target. Direct prediction market engagement."
@CryptoDonAlt,Crypto Don Alt,703000,In-Game B-Tier,HIGH,To Contact,"OG trader - smug/sarcastic - high engagement","Perfect for meta competition. Would trash-talk."
@CryptoRover,Crypto Rover,1000000,In-Game B-Tier,HIGH,To Contact,"Heavy Polymarket poster - bullish degen energy","Top priority. Prime degen fit."
@CroissantEth,Croissant,115000,In-Game B-Tier,HIGH,To Contact,"Thread writer - Polymarket/election commentary","Meta/hype expert. Would promote virally."
@TrustlessState,David Hoffman,252000,In-Game B-Tier,MEDIUM-HIGH,To Contact,"Bankless co-host - high energy storyteller","Bankless audience converts well."
@TraderMayne,Trader Mayne,558000,In-Game B-Tier,MEDIUM-HIGH,To Contact,"Prop trading background - breakout trader","Degen trader fit."
@CredibleCrypto,Credible Crypto,485000,In-Game B-Tier,MEDIUM-HIGH,To Contact,"Chartist - opinionated trader","Trader community. Prediction-style posts."
@Route2FI,Route2FI,302000,In-Game B-Tier,MEDIUM-HIGH,To Contact,"Narrative trader - Paradex maxi","Active in narratives. Gaming-friendly."
@EmperorBTC,Emperor,442000,In-Game B-Tier,MEDIUM,Researched,"BTC chartist - YouTube predictions","Analytical but aware of degen side."
@RyanSAdams,Ryan Sean Adams,273000,In-Game B-Tier,MEDIUM,Researched,"Bankless host - crypto investor","Professional. Tie to ETH/Base."
@DeFi_Dad,DeFi Dad,177000,In-Game B-Tier,MEDIUM,Researched,"DeFi educator - podcaster","Open to fun DeFi tools. Easy collab."
@lightcrypto,Light,186000,In-Game B-Tier,MEDIUM,Researched,"Philosophical/poetic trader","Engaged but introspective."
@waleswoosh,Waleswoosh,171000,In-Game B-Tier,MEDIUM,Researched,"Moca/networking - business-focused","Promotional bandwidth."
@banditxbt,Bandit,46000,In-Game C-Tier,HIGH,To Contact,"Vibe/degen poster - prediction market wins","Prime lottery pick. Warmest C-tier target."
@StaniKulechov,Stani Kulechov,281000,In-Game C-Tier,MEDIUM-HIGH,To Contact,"Aave founder - Polymarket fan","Strong DeFi synergy. Would enjoy meta."
@kaiynne,Kain Warwick,145000,In-Game C-Tier,MEDIUM,To Contact,"Synthetix/Infinex founder - conviction betting","Frame as conviction test."
@rleshner,Robert Leshner,139000,In-Game C-Tier,MEDIUM,To Contact,"Compound founder - satirical tweets","Light/satirical pitch could land."
@ameensol,Ameen Soleimani,47000,In-Game C-Tier,MEDIUM,To Contact,"MolochDAO - prediction market love","Edgy pitch. Game theory energy."
